MFR URL,Ref URL 1,Ref URL 2,Ref URL 3,Ref URL 4,Ref URL 5,PART_NUMBER,Dept,Class,Fine,SKU - MY_PART_NUMBER,Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf,MANUFACTURER_NAME,BRAND_NAME,TRADE_NAME,MANUFACTURER_PART_NUMBER,ALTERNATE_PART_NUMBER,Classpath,MOBILE_DESC,INVOICE_DESC,SHORT_DESC,LONG_DESC1,RETAIL_DESC,MARKETING_DESCRIPTION,ITEM_FEATURES_1,ITEM_FEATURES_2,ITEM_FEATURES_3,ITEM_FEATURES_4,ITEM_FEATURES_5,ITEM_FEATURES_6,ITEM_FEATURES_7,ITEM_FEATURES_8,ITEM_FEATURES_9,ITEM_FEATURES_10,ITEM_FEATURES_11,ITEM_FEATURES_12,ITEM_FEATURES_13,ITEM_FEATURES_14,ITEM_FEATURES_15,ITEM_FEATURES_16,ITEM_FEATURES_17,ITEM_FEATURES_18,ITEM_FEATURES_19,ITEM_FEATURES_20,With,Standard/Approvals,Prop 65,Application,Includes,Product Name,ATTRIBUTE_LABEL 1,ATTRIBUTE_VALUE 1,ATTRIBUTE_UOM 1,ATTRIBUTE_LABEL 2,ATTRIBUTE_VALUE 2,ATTRIBUTE_UOM 2,ATTRIBUTE_LABEL 3,ATTRIBUTE_VALUE 3,ATTRIBUTE_UOM 3,ATTRIBUTE_LABEL 4,ATTRIBUTE_VALUE 4,ATTRIBUTE_UOM 4,ATTRIBUTE_LABEL 5,ATTRIBUTE_VALUE 5,ATTRIBUTE_UOM 5,ATTRIBUTE_LABEL 6,ATTRIBUTE_VALUE 6,ATTRIBUTE_UOM 6,ATTRIBUTE_LABEL 7,ATTRIBUTE_VALUE 7,ATTRIBUTE_UOM 7,ATTRIBUTE_LABEL 8,ATTRIBUTE_VALUE 8,ATTRIBUTE_UOM 8,ATTRIBUTE_LABEL 9,ATTRIBUTE_VALUE 9,ATTRIBUTE_UOM 9,ATTRIBUTE_LABEL 10,ATTRIBUTE_VALUE 10,ATTRIBUTE_UOM 10,ATTRIBUTE_LABEL 11,ATTRIBUTE_VALUE 11,ATTRIBUTE_UOM 11,ATTRIBUTE_LABEL 12,ATTRIBUTE_VALUE 12,ATTRIBUTE_UOM 12,ATTRIBUTE_LABEL 13,ATTRIBUTE_VALUE 13,ATTRIBUTE_UOM 13,ATTRIBUTE_LABEL 14,ATTRIBUTE_VALUE 14,ATTRIBUTE_UOM 14,ATTRIBUTE_LABEL 15,ATTRIBUTE_VALUE 15,ATTRIBUTE_UOM 15,ATTRIBUTE_LABEL 16,ATTRIBUTE_VALUE 16,ATTRIBUTE_UOM 16,ATTRIBUTE_LABEL 17,ATTRIBUTE_VALUE 17,ATTRIBUTE_UOM 17,ATTRIBUTE_LABEL 18,ATTRIBUTE_VALUE 18,ATTRIBUTE_UOM 18,ATTRIBUTE_LABEL 19,ATTRIBUTE_VALUE 19,ATTRIBUTE_UOM 19,ATTRIBUTE_LABEL 20,ATTRIBUTE_VALUE 20,ATTRIBUTE_UOM 20,ATTRIBUTE_LABEL 21,ATTRIBUTE_VALUE 21,ATTRIBUTE_UOM 21,ATTRIBUTE_LABEL 22,ATTRIBUTE_VALUE 22,ATTRIBUTE_UOM 22,ATTRIBUTE_LABEL 23,ATTRIBUTE_VALUE 23,ATTRIBUTE_UOM 23,ATTRIBUTE_LABEL 24,ATTRIBUTE_VALUE 24,ATTRIBUTE_UOM 24,ATTRIBUTE_LABEL 25,ATTRIBUTE_VALUE 25,ATTRIBUTE_UOM 25,ATTRIBUTE_LABEL 26,ATTRIBUTE_VALUE 26,ATTRIBUTE_UOM 26,ATTRIBUTE_LABEL 27,ATTRIBUTE_VALUE 27,ATTRIBUTE_UOM 27,ATTRIBUTE_LABEL 28,ATTRIBUTE_VALUE 28,ATTRIBUTE_UOM 28,ATTRIBUTE_LABEL 29,ATTRIBUTE_VALUE 29,ATTRIBUTE_UOM 29,ATTRIBUTE_LABEL 30,ATTRIBUTE_VALUE 30,ATTRIBUTE_UOM 30,ATTRIBUTE_LABEL 31,ATTRIBUTE_VALUE 31,ATTRIBUTE_UOM 31,ATTRIBUTE_LABEL 32,ATTRIBUTE_VALUE 32,ATTRIBUTE_UOM 32,ATTRIBUTE_LABEL 33,ATTRIBUTE_VALUE 33,ATTRIBUTE_UOM 33,ATTRIBUTE_LABEL 34,ATTRIBUTE_VALUE 34,ATTRIBUTE_UOM 34,ATTRIBUTE_LABEL 35,ATTRIBUTE_VALUE 35,ATTRIBUTE_UOM 35,ATTRIBUTE_LABEL 36,ATTRIBUTE_VALUE 36,ATTRIBUTE_UOM 36,ATTRIBUTE_LABEL 37,ATTRIBUTE_VALUE 37,ATTRIBUTE_UOM 37,ATTRIBUTE_LABEL 38,ATTRIBUTE_VALUE 38,ATTRIBUTE_UOM 38,ATTRIBUTE_LABEL 39,ATTRIBUTE_VALUE 39,ATTRIBUTE_UOM 39,ATTRIBUTE_LABEL 40,ATTRIBUTE_VALUE 40,ATTRIBUTE_UOM 40,ATTRIBUTE_LABEL 41,ATTRIBUTE_VALUE 41,ATTRIBUTE_UOM 41,ATTRIBUTE_LABEL 42,ATTRIBUTE_VALUE 42,ATTRIBUTE_UOM 42,ATTRIBUTE_LABEL 43,ATTRIBUTE_VALUE 43,ATTRIBUTE_UOM 43,ATTRIBUTE_LABEL 44,ATTRIBUTE_VALUE 44,ATTRIBUTE_UOM 44,ATTRIBUTE_LABEL 45,ATTRIBUTE_VALUE 45,ATTRIBUTE_UOM 45,ATTRIBUTE_LABEL 46,ATTRIBUTE_VALUE 46,ATTRIBUTE_UOM 46,ATTRIBUTE_LABEL 47,ATTRIBUTE_VALUE 47,ATTRIBUTE_UOM 47,ATTRIBUTE_LABEL 48,ATTRIBUTE_VALUE 48,ATTRIBUTE_UOM 48,ATTRIBUTE_LABEL 49,ATTRIBUTE_VALUE 49,ATTRIBUTE_UOM 49,ATTRIBUTE_LABEL 50,ATTRIBUTE_VALUE 50,ATTRIBUTE_UOM 50,UPC,EAN,GTIN,UNSPSC,Warranty,List Price,Selling Qty,Selling UOM,Standard Packaging Information,LENGTH,LENGTH_UOM,HEIGHT,HEIGHT_UOM,WIDTH,WIDTH_UOM,WEIGHT,WEIGHT_UOM,VOLUME,VOLUME_UOM,Product Image,Alternate Image 1,Alternate Image 2,Alternate Image 3,Alternate Image 4,SDS,SDS_1,Warranty Information,Catalog,Specification Sheet,Instruction/Installation Manual,Service Manual,Owners/User Manual,Line Drawing,MTR,RoHS,Full Engineering Drawing,Energy Star Guide,Technical Bulletin,Submittal,Compatibility Chart,Size Chart,Product Label/Insert,Video Link,Video Link 1,Country Of Origin,Discontinued,Actual Image (Yes/No)
https://www.mirka.com/product/9A-570-320,,,,,,9A-570-320,Tools & Hardware,Abrasives,Cutting Discs,9A-570-320,9A-570-320,9A-570-320 Abranet 2.75x30,-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Mirka Abrasives Inc (MIRUS),Mirka Ltd.,MIRKA®,,9A-570-320,,Tools & Hardware>Abrasives>Cutting & Grinding Discs,"MIRKA®, Abrasive Disc, 9A-570-320, 2-3/4x30",ABRASIVE DISC 2-3/4X30,"MIRKA®, 9A-570-320, Abrasive Disc","MIRKA® None Abrasive Disc (MPN: 9A-570-320). Specifications: Voltage: None, Amperage: 9 A, Sound: None, Material: None.","MIRKA®, Abrasive Disc","MIRKA® None Abrasive Disc (MPN: 9A-570-320). Specifications: Voltage: None, Amperage: 9 A, Sound: None, Material: None.",,,,,,,,,,,,,,,,,,,,,,,,,,Abrasive Disc,Dimensions,2-3/4x30,in,Item Type,Abrasive Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.diablotools.com/product/DBD090094101F,,,,,,DBD090094101F,Tools & Hardware,Abrasives,Cutting Discs,DBD090094101F,DBD090094101F,"DBD090094101F Diablo 9"" - Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Tools / Robert Bosch Tool Corporation,DIABLO®,,DBD090094101F,,Tools & Hardware>Abrasives>Cutting & Grinding Discs,"DIABLO®, Cut-Off Disc, DBD090094101F, Carbon Steel",CUT-OFF DISC CS,"DIABLO®, DBD090094101F, Cut-Off Disc, Carbon Steel","DIABLO® None Cut-Off Disc (MPN: DBD090094101F). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Carbon Steel.","DIABLO®, Cut-Off Disc, Carbon Steel","DIABLO® None Cut-Off Disc (MPN: DBD090094101F). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Carbon Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Material,Carbon Steel,,Item Type,Cut-Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.diablotools.com/product/DBDS12125A01F,,,,,,DBDS12125A01F,Tools & Hardware,Abrasives,Cutting Discs,DBDS12125A01F,DBDS12125A01F,"DBDS12125A01F Diablo 12"" - Steel Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Tools / Robert Bosch Tool Corporation,DIABLO®,,DBDS12125A01F,,Tools & Hardware>Abrasives>Cutting & Grinding Discs,"DIABLO®, Cut-Off Disc, DBDS12125A01F, Carbon Steel",CUT-OFF DISC CS,"DIABLO®, DBDS12125A01F, Cut-Off Disc, Carbon Steel","DIABLO® None Cut-Off Disc (MPN: DBDS12125A01F). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Carbon Steel.","DIABLO®, Cut-Off Disc, Carbon Steel","DIABLO® None Cut-Off Disc (MPN: DBDS12125A01F). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Carbon Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Material,Carbon Steel,,Item Type,Cut-Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.diablotools.com/product/DBDS12125G01F,,,,,,DBDS12125G01F,Tools & Hardware,Abrasives,Cutting Discs,DBDS12125G01F,DBDS12125G01F,"DBDS12125G01F Diablo 12""x20mm - Speed Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Tools / Robert Bosch Tool Corporation,DIABLO®,,DBDS12125G01F,,Tools & Hardware>Abrasives>Cutting & Grinding Discs,"DIABLO®, Cut-Off Disc, DBDS12125G01F, Metal, 12 inx20 mm",CUT-OFF DISC 12 INX20 MM METAL,"DIABLO®, DBDS12125G01F, Cut-Off Disc, Metal","DIABLO® None Cut-Off Disc (MPN: DBDS12125G01F). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Metal.","DIABLO®, Cut-Off Disc, Metal","DIABLO® None Cut-Off Disc (MPN: DBDS12125G01F). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Metal.",,,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Dimensions,12 inx20 mm,in,Material,Metal,,Item Type,Cut-Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.diablotools.com/product/DBDS14125A01F,,,,,,DBDS14125A01F,Tools & Hardware,Abrasives,Cutting Discs,DBDS14125A01F,DBDS14125A01F,"DBDS14125A01F Diablo 14""x1"" - Steel Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Tools / Robert Bosch Tool Corporation,DIABLO®,,DBDS14125A01F,,Tools & Hardware>Abrasives>Cutting & Grinding Discs,"DIABLO®, Cut-Off Disc, DBDS14125A01F, Carbon Steel, 14 inx1",CUT-OFF DISC 14 INX1 CS,"DIABLO®, DBDS14125A01F, Cut-Off Disc, Carbon Steel","DIABLO® None Cut-Off Disc (MPN: DBDS14125A01F). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Carbon Steel.","DIABLO®, Cut-Off Disc, Carbon Steel","DIABLO® None Cut-Off Disc (MPN: DBDS14125A01F). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Carbon Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Dimensions,14 inx1,in,Material,Carbon Steel,,Item Type,Cut-Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.diablotools.com/product/DBDS14125G01F,,,,,,DBDS14125G01F,Tools & Hardware,Abrasives,Cutting Discs,DBDS14125G01F,DBDS14125G01F,"DBDS14125G01F Diablo 14""x20mm - Steel Demon Metal Cut-Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Freud Inc (2435),Freud Tools / Robert Bosch Tool Corporation,DIABLO®,,DBDS14125G01F,,Tools & Hardware>Abrasives>Cutting & Grinding Discs,"DIABLO®, Cut-Off Disc, DBDS14125G01F, Carbon Steel, 14 inx20 mm",CUT-OFF DISC 14 INX20 MM 20MM CS,"DIABLO®, DBDS14125G01F, Cut-Off Disc, Carbon Steel","DIABLO® None Cut-Off Disc (MPN: DBDS14125G01F). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Carbon Steel.","DIABLO®, Cut-Off Disc, Carbon Steel","DIABLO® None Cut-Off Disc (MPN: DBDS14125G01F). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Carbon Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Dimensions,14 inx20 mm,in,Material,Carbon Steel,,Item Type,Cut-Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.milwaukeetool.com/product/49-94-0013,,,,,,49-94-0013,Tools & Hardware,Abrasives,Cutting Discs,49-94-0013,49-94-0013,"49-94-0013 Milw 5""x.045""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Electric Tool Corporation,MILWAUKEE®,,49-94-0013,,Tools & Hardware>Abrasives>Cutting & Grinding Discs,"MILWAUKEE®, Cut-Off Disc, 49-94-0013, Metal, 5 in",CUT-OFF DISC 5 IN METAL,"MILWAUKEE®, 49-94-0013, Cut-Off Disc, Metal","MILWAUKEE® None Cut-Off Disc (MPN: 49-94-0013). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Metal.","MILWAUKEE®, Cut-Off Disc, Metal","MILWAUKEE® None Cut-Off Disc (MPN: 49-94-0013). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Metal.",,,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Dimensions,5,in,Material,Metal,,Item Type,Cut-Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.milwaukeetool.com/product/49-94-0029,,,,,,49-94-0029,Tools & Hardware,Abrasives,Cutting Discs,49-94-0029,49-94-0029,"49-94-0029 Milw 6-1/2""x1/8""x5/8"" DKO Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Electric Tool Corporation,MILWAUKEE®,,49-94-0029,,Tools & Hardware>Abrasives>Cutting & Grinding Discs,"MILWAUKEE®, Cut-Off Disc, 49-94-0029, Carbon Steel, 6-1/2 inx1/8 inx5/8",CUT OFF DISC 6-1/2 INX1/8 INX5/8 1/8 IN,"MILWAUKEE®, 49-94-0029, Cut-Off Disc, Carbon Steel","MILWAUKEE® None Cut-Off Disc (MPN: 49-94-0029). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Carbon Steel.","MILWAUKEE®, Cut-Off Disc, Carbon Steel","MILWAUKEE® None Cut-Off Disc (MPN: 49-94-0029). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Carbon Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Dimensions,6-1/2 inx1/8 inx5/8,in,Material,Carbon Steel,,Item Type,Cut-Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.milwaukeetool.com/product/49-94-0033,,,,,,49-94-0033,Tools & Hardware,Abrasives,Cutting Discs,49-94-0033,49-94-0033,"49-94-0033 Milw 7""x1/16""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Electric Tool Corporation,MILWAUKEE®,,49-94-0033,,Tools & Hardware>Abrasives>Cutting & Grinding Discs,"MILWAUKEE®, Cut-Off Disc, 49-94-0033, Carbon Steel, 7 inx1/16 inx7/8",CUT-OFF DISC 7 INX1/16 INX7/8 1/16 IN CS,"MILWAUKEE®, 49-94-0033, Cut-Off Disc, Carbon Steel","MILWAUKEE® None Cut-Off Disc (MPN: 49-94-0033). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Carbon Steel.","MILWAUKEE®, Cut-Off Disc, Carbon Steel","MILWAUKEE® None Cut-Off Disc (MPN: 49-94-0033). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Carbon Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Dimensions,7 inx1/16 inx7/8,in,Material,Carbon Steel,,Item Type,Cut-Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.milwaukeetool.com/product/49-94-0001,,,,,,49-94-0001,Tools & Hardware,Abrasives,Cutting Discs,49-94-0001,49-94-0001,"49-94-0001 Milw 4""x.040""x5/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Electric Tool Corporation,MILWAUKEE®,,49-94-0001,,Tools & Hardware>Abrasives>Cutting & Grinding Discs,"MILWAUKEE®, Cut-Off Disc, 49-94-0001, 040"" x 5/8"" Metal Cut Off Wheel -Type 1  M",CUT OFF DISC 040 IN X 5/8 IN METAL CUT,"MILWAUKEE®, 49-94-0001, Cut-Off Disc, 040"" x 5/8"" Metal Cut Off Wheel -Type 1  Mounting, Carbon Steel","MILWAUKEE® None Cut-Off Disc (MPN: 49-94-0001). Specifications: Voltage: None, Amperage: 040"" x 5/8"" Metal Cut Off Wheel -Type 1 , Sound: None, Material: Carbon Steel.","MILWAUKEE®, Cut-Off Disc, 040"" x 5/8"" Metal Cut Off Wheel -Type 1  Mounting, Carbon Steel","MILWAUKEE® None Cut-Off Disc (MPN: 49-94-0001). Specifications: Voltage: None, Amperage: 040"" x 5/8"" Metal Cut Off Wheel -Type 1 , Sound: None, Material: Carbon Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Dimensions,040 in x 5/8 in Metal Cut Off Wheel -Type 1 Share Options : Diam,in,Mounting,"040"" x 5/8"" Metal Cut Off Wheel -Type 1 ",,Material,Carbon Steel,,Item Type,Cut-Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.milwaukeetool.com/product/49-94-0039,,,,,,49-94-0039,Tools & Hardware,Abrasives,Cutting Discs,49-94-0039,49-94-0039,"49-94-0039 Milw 7""x1/8""x5/8"" DKO Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Electric Tool Corporation,MILWAUKEE®,,49-94-0039,,Tools & Hardware>Abrasives>Cutting & Grinding Discs,"MILWAUKEE®, Cut-Off Disc, 49-94-0039, Carbon Steel, 7 inx1/8 inx5/8",CUT-OFF DISC 7 INX1/8 INX5/8 1/8 IN CS,"MILWAUKEE®, 49-94-0039, Cut-Off Disc, Carbon Steel","MILWAUKEE® None Cut-Off Disc (MPN: 49-94-0039). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Carbon Steel.","MILWAUKEE®, Cut-Off Disc, Carbon Steel","MILWAUKEE® None Cut-Off Disc (MPN: 49-94-0039). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Carbon Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Dimensions,7 inx1/8 inx5/8,in,Material,Carbon Steel,,Item Type,Cut-Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.milwaukeetool.com/product/49-94-0043,,,,,,49-94-0043,Tools & Hardware,Abrasives,Cutting Discs,49-94-0043,49-94-0043,"49-94-0043 Milw 9""x3/32""x7/8"" Metal Cut Off Disc",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Electric Tool Corporation,MILWAUKEE®,,49-94-0043,,Tools & Hardware>Abrasives>Cutting & Grinding Discs,"MILWAUKEE®, Cut-Off Disc, 49-94-0043, Carbon Steel, 9 inx3/32 inx7/8",CUT-OFF DISC 9 INX3/32 INX7/8 3/32 IN CS,"MILWAUKEE®, 49-94-0043, Cut-Off Disc, Carbon Steel","MILWAUKEE® None Cut-Off Disc (MPN: 49-94-0043). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Carbon Steel.","MILWAUKEE®, Cut-Off Disc, Carbon Steel","MILWAUKEE® None Cut-Off Disc (MPN: 49-94-0043). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Carbon Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Dimensions,9 inx3/32 inx7/8,in,Material,Carbon Steel,,Item Type,Cut-Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
https://www.milwaukeetool.com/product/49-94-0048,,,,,,49-94-0048,Tools & Hardware,Abrasives,Cutting Discs,49-94-0048,49-94-0048,"49-94-0048 Milw 12""x7/64""x1"" Metal Cut Off Disc General Purpose",-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,Milwaukee Accessory (4031),Milwaukee Electric Tool Corporation,MILWAUKEE®,,49-94-0048,,Tools & Hardware>Abrasives>Cutting & Grinding Discs,"MILWAUKEE®, Cut-Off Disc, 49-94-0048, Carbon Steel, 12 inx7/64 inx1",CUT-OFF DISC 12 INX7/64 INX1 7/64 IN CS,"MILWAUKEE®, 49-94-0048, Cut-Off Disc, Carbon Steel","MILWAUKEE® None Cut-Off Disc (MPN: 49-94-0048). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Carbon Steel.","MILWAUKEE®, Cut-Off Disc, Carbon Steel","MILWAUKEE® None Cut-Off Disc (MPN: 49-94-0048). Specifications: Voltage: None, Amperage: None, Sound: None, Material: Carbon Steel.",,,,,,,,,,,,,,,,,,,,,,,,,,Cut-Off Disc,Dimensions,12 inx7/64 inx1,in,Material,Carbon Steel,,Item Type,Cut-Off Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US,No,No
